full_name,a,e,i,om,w,q,ad,per_y,H,diameter,extent,albedo,rot_per,GM,BV,UB,IR,spec_B,spec_T
"  2608 Seneca (1978 DA)",2.516673242091114,.5709433260183939,14.67792202040298,167.3690592004009,37.32487909637873,1.079795450750119,3.95355103343211,3.99253240451538,17.52,0.9,,0.21,8.,,.826,.454,,,S
"  3102 Krok (1981 QA)",2.152929122398985,.4481913580332363,8.424081181855678,172.1483162027876,154.6210432715043,1.188004895281681,3.117853349516291,3.15902309478929,16.1,1.6,,,149.4,,.834,.521,,S,QRS
"  3103 Eger (1982 BB)",1.404478745977331,.3542686177002299,20.93209757577573,129.7996066226929,254.0001630519171,.9069160020505896,1.902041489904072,1.66448911477643,15.38,1.5,,0.64,5.7059,,.732,.235,,Xe,
"  3122 Florence (1981 ET3)",1.768163222841963,.4228052507665658,22.16304537851195,336.1239586994568,27.71334805232657,1.020574528012048,2.515751917671879,2.35121168816508,14.1,4.9,,,2.3581,,,,,S,
"  3199 Nefertiti (1982 RA)",1.574471018223424,.2838505696764539,32.96648854739345,340.0249939588787,53.38656667947994,1.127556522761639,2.02138551368521,1.97565090861327,14.84,2.2,,0.42,3.021,,.895,.418,,Sq,S
"  3200 Phaethon (1983 TB)",1.271120775425889,.8898567855068311,22.24120293544042,265.2630422610986,322.148301733701,.1400053282144568,2.402236222637321,1.4331393732078,14.6,5.10,,0.1066,3.604,,,,,B,F
"  3271 Ul (1982 RB)",2.102742156828687,.3952447854600853,25.04842419539185,158.8594252972065,158.9908710538385,1.271644284175055,2.933840029482318,3.04920929434014,16.5,,,,,,,,,,
"  3288 Seleucus (1982 DV)",2.033242618522031,.4558960952358181,5.928006775142775,218.6683093753745,349.2806702934602,1.106295248070787,2.960189988973275,2.89929234404856,15.2,2.8,,0.22,75.,,.910,.500,,K,S
"  3352 McAuliffe (1981 CW)",1.878668133470176,.3692159002373136,4.773271311159045,107.3834377185038,15.91113522206104,1.185033987323831,2.57230227961652,2.57503600261084,15.8,,,,2.2060,,,,,A,
"  3360 Syrinx (1981 VA)",2.468783154314622,.7451779955434838,21.2605027436522,243.4719809806904,62.56231430723963,.6291002719509325,4.308466036678311,3.87911469096887,15.9,1.8,,0.17,,,,,,,
"  3361 Orpheus (1982 HR)",1.209819884916119,.322807797983623,2.684058928852344,189.4132723051594,301.7452203284406,.8192805919095461,1.600359177922691,1.33072795360761,19.03,0.3,,,3.58,,1.022,.503,,,
"  3362 Khufu (1984 QA)",.9894849322598689,.4685030607482228,9.917141877749682,152.4540328267928,55.03962658627788,.5259082129318724,1.453061651587865,0.984287523316922,18.3,0.7,,0.21,,,,,,,
"  3551 Verenia (1983 RD)",2.093335767404702,.4865371837233798,9.502532004717423,173.858677363672,193.238627582516,1.074850078544198,3.111821456265206,3.02877173177604,16.75,0.9,,0.37,4.930,,.839,.481,,,V
